new,old
0.775,0.100
0.715,0.060
0.709,0.074
0.666,0.039
0.671,0.041
0.686,0.059
0.691,0.062
0.832,0.044
0.697,0.061
0.705,0.021
0.658,0.064
0.902,0.517
0.927,0.048
0.854,0.104
0.661,0.033
0.629,0.043
0.712,0.034
0.664,0.074
0.631,0.018
0.721,0.077
0.706,0.055
0.774,0.029
0.712,0.065
0.702,0.088
0.667,0.077
0.761,0.047
0.711,0.041
0.806,0.049
0.672,0.080
0.767,0.045
0.716,0.086
0.787,0.047
0.696,0.086
1.099,0.049
1.272,0.041
0.684,0.036
0.762,0.047
0.731,0.234
1.386,0.119
0.673,0.038
0.717,0.070
0.707,0.061
0.712,0.031
0.656,0.049
0.751,0.090
0.660,0.060
0.677,0.042
0.827,0.052
0.660,0.074
0.781,0.044
1.095,0.063
1.044,0.173
0.915,0.225
1.086,0.073
0.915,0.066
0.931,0.097
0.975,0.058
0.773,0.066
0.778,0.055
0.717,0.049
0.668,0.046
0.634,0.049
0.646,0.041
0.685,0.049
0.696,0.058
0.653,0.039
0.652,0.041
0.670,0.039
0.730,0.087
0.661,0.029
1.089,0.215
1.123,0.073
0.694,0.033
0.671,0.219
1.030,0.233
0.717,0.038
0.777,0.047
0.691,0.077
0.680,0.091
0.679,0.066
0.616,0.030
0.696,0.111
0.721,0.057
0.647,0.075
0.687,0.023
0.701,0.065
0.661,0.047
0.676,0.056
0.700,0.035
0.668,0.056
0.775,0.045
0.793,0.066
0.878,0.047
1.005,0.083
0.723,0.034
0.714,0.058
0.671,0.036
0.671,0.036
0.671,0.036
