new,old
0.742,0.052
0.669,0.052
0.631,0.054
0.840,0.044
0.726,0.035
0.650,0.063
0.689,0.042
0.663,0.038
0.674,0.040
1.684,0.371
1.185,0.050
0.731,0.053
0.707,0.068
0.763,0.914
1.588,0.402
1.377,0.553
2.033,0.051
1.850,0.354
1.332,0.163
1.890,0.200
1.808,0.070
0.818,0.035
0.821,0.061
0.828,0.059
0.706,0.040
0.743,0.039
0.730,0.046
0.706,0.058
0.654,0.055
0.668,0.036
0.711,0.023
0.639,0.053
0.626,0.039
0.665,0.054
0.712,0.062
1.118,0.060
1.357,0.078
1.058,0.045
0.986,0.115
1.191,0.041
1.071,0.050
0.890,0.150
0.708,0.045
0.652,0.064
0.857,0.224
0.658,0.058
0.707,0.034
0.736,0.044
0.857,0.057
0.878,0.036
0.685,0.058
0.676,0.097
0.717,0.041
0.960,0.039
0.719,0.153
0.726,0.039
1.164,0.243
0.967,0.055
0.957,0.060
0.712,0.061
0.774,0.049
0.652,0.063
0.677,0.052
0.674,0.059
0.698,0.039
0.685,0.092
1.019,0.044
0.636,0.075
0.746,0.065
1.189,0.033
0.834,0.054
0.711,0.065
1.226,0.066
0.860,0.139
0.765,0.057
0.733,0.049
0.815,0.056
0.760,0.057
0.923,0.066
0.838,0.036
0.733,0.033
0.669,0.057
0.781,0.042
0.751,0.059
0.855,0.076
1.001,0.040
0.805,0.048
0.688,0.048
0.730,0.057
0.893,0.051
1.026,0.055
0.735,0.054
0.797,0.310
1.009,0.045
0.821,0.052
0.997,0.047
0.933,0.074
0.881,0.059
0.798,0.036
0.708,0.077
0.703,0.052
0.817,0.046
1.050,0.071
1.054,0.044
0.992,0.046
0.678,0.042
1.006,0.291
0.818,0.054
0.908,0.053
0.699,0.049
0.789,0.051
0.871,0.129
0.766,0.252
0.740,0.105
0.710,0.068
0.953,0.049
0.691,0.057
0.703,0.065
1.491,0.103
0.924,0.080
0.980,0.060
0.787,0.055
0.902,0.260
0.782,0.052
0.720,0.052
0.862,0.046
0.879,0.048
0.858,0.044
0.680,0.029
0.659,0.048
0.679,0.054
0.765,0.078
0.753,0.078
0.739,0.057
0.695,0.027
0.725,0.051
0.735,0.055
0.720,0.042
0.751,0.094
0.709,0.041
0.741,0.069
0.953,0.084
1.418,0.043
0.786,0.080
0.791,0.062
0.751,0.063
0.736,0.053
0.814,0.055
0.757,0.033
0.720,0.096
0.703,0.058
0.729,0.057
0.674,0.046
0.771,0.090
0.833,0.070
0.800,0.025
0.737,0.045
0.833,0.158
0.819,0.139
0.767,0.123
0.751,0.132
0.969,0.069
0.896,0.125
0.797,0.095
0.793,0.041
0.715,0.055
0.728,0.051
0.747,0.047
0.935,0.031
0.704,0.090
0.701,0.070
0.723,0.051
0.706,0.040
0.715,0.054
0.683,0.052
0.805,0.086
0.849,0.044
0.799,0.024
0.908,0.063
0.777,0.061
0.748,0.068
0.817,0.050
0.728,0.021
0.817,0.036
0.941,0.215
1.170,0.085
0.675,0.082
0.752,0.073
0.748,0.065
0.745,0.069
0.735,0.051
0.821,0.047
0.802,0.061
0.692,0.072
0.659,0.043
0.648,0.080
0.871,0.054
1.073,0.091
0.805,0.037
0.846,0.062
0.787,0.054
1.778,0.063
0.870,0.105
0.736,0.054
1.116,0.080
0.814,0.102
0.745,0.054
0.936,0.028
0.659,0.024
0.770,0.065
0.837,0.069
0.921,0.054
1.007,0.064
0.776,0.050
0.688,0.064
0.755,0.098
0.867,0.064
0.745,0.047
0.801,0.089
0.780,0.043
0.712,0.072
0.706,0.053
0.747,0.025
0.720,0.039
0.819,0.046
0.783,0.043
0.774,0.064
0.728,0.044
0.727,0.046
0.753,0.106
0.898,0.067
0.735,0.059
0.797,0.069
0.812,0.082
0.836,0.070
0.885,0.069
0.763,0.043
0.767,0.078
0.778,0.045
0.796,0.132
0.755,0.053
0.851,0.178
0.891,0.068
0.854,0.099
0.799,0.070
0.708,0.044
0.854,0.075
0.804,0.064
0.756,0.126
